course_code,sdg_number,sdg_name,addressed,justification,timestamp
DDES1043,9,Industry Innovation and Infrastructure,Supported,Keywords detected: industry,2024-11-25 15:30:25.202577
MATH3371,7,Affordable and Clean Energy,Focus,Keywords detected: efficiency,2024-11-25 15:30:25.631776
MATH3371,11,Sustainable Cities and Communities,Focus,Keywords detected: efficiency,2024-11-25 15:30:25.631776
MATH3371,13,Climate Action,Focus,Keywords detected: efficiency,2024-11-25 15:30:25.631776
MATH3371,16,"Peace, Justice and Strong Institutions",Supported,Keywords detected: liability,2024-11-25 15:30:25.631776
MATH3371,4,Quality Education,Supported,Keywords detected: variety,2024-11-25 15:30:25.631776
BABS1202,4,Quality Education,Focus,"Keywords detected: science, science, science",2024-11-25 15:30:25.956276
BABS1202,9,Industry Innovation and Infrastructure,Supported,Keywords detected: technolog,2024-11-25 15:30:25.956276
ARTS2034,4,Quality Education,Supported,Keywords detected: variety,2024-11-25 15:30:26.239750
PHCM9517,11,Sustainable Cities and Communities,Supported,Keywords detected: modification,2024-11-25 15:30:26.864553
OPTM3205,13,Climate Action,Focus,Keywords detected: epidemiology,2024-11-25 15:30:27.535016
MATS3299,14,Life Below Water,Supported,Keywords detected: deep,2024-11-25 15:30:27.933633
DATA1001,4,Quality Education,Focus,Keywords detected: science,2024-11-25 15:30:28.366563
PSYC7236,4,Quality Education,Supported,"Keywords detected: cultur, training",2024-11-25 15:30:28.990538
PSYC7236,10,Reduced Inequalities,Supported,Keywords detected: cult,2024-11-25 15:30:28.990538
PSYC7236,3,Good Health and Well-being,Supported,Keywords detected: delivery,2024-11-25 15:30:28.990538
