course_code,sdg_number,sdg_name,addressed,justification,timestamp
ACCT5948,16,"Peace, Justice and Strong Institutions",Supported,Keywords detected: liability,2024-11-25 15:31:12.840509
MTRN4231,10,Reduced Inequalities,Supported,Keywords detected: just,2024-11-25 15:31:13.291709
ACTL5110,8,Decent Work and Economic Growth,Supported,"Keywords detected: business, business, business, business, business",2024-11-25 15:31:13.765160
ENGG3001,4,Quality Education,Supported,"Keywords detected: tradition, cultur",2024-11-25 15:31:14.646181
ENGG3001,10,Reduced Inequalities,Supported,Keywords detected: cult,2024-11-25 15:31:14.646181
ARTS1510,4,Quality Education,Supported,Keywords detected: cultur,2024-11-25 15:31:15.006946
ARTS1510,10,Reduced Inequalities,Supported,Keywords detected: cult,2024-11-25 15:31:15.006946
SENG3993,8,Decent Work and Economic Growth,Supported,Keywords detected: business,2024-11-25 15:31:15.332225
MINE8820,6,Clean Water and Sanitation,Focus,Keywords detected: water,2024-11-25 15:31:16.277496
MINE8820,7,Affordable and Clean Energy,Focus,"Keywords detected: efficiency, energy efficien, sustainab, energy efficiency",2024-11-25 15:31:16.277496
MINE8820,11,Sustainable Cities and Communities,Focus,"Keywords detected: efficiency, sustainab",2024-11-25 15:31:16.277496
MINE8820,13,Climate Action,Focus,"Keywords detected: efficiency, sustainab",2024-11-25 15:31:16.277496
BLDG3022,7,Affordable and Clean Energy,Focus,"Keywords detected: sustainab, sustainab",2024-11-25 15:31:16.632160
BLDG3022,11,Sustainable Cities and Communities,Focus,"Keywords detected: sustainab, sustainab",2024-11-25 15:31:16.632160
BLDG3022,13,Climate Action,Focus,"Keywords detected: sustainab, sustainab",2024-11-25 15:31:16.632160
TELE4642,1,No Poverty,Supported,Keywords detected: poor,2024-11-25 15:31:17.104211
TELE4642,13,Climate Action,Supported,Keywords detected: poor,2024-11-25 15:31:17.104211
TELE4642,9,Industry Innovation and Infrastructure,Supported,Keywords detected: technolog,2024-11-25 15:31:17.104211
PHCM3007,3,Good Health and Well-being,Supported,"Keywords detected: public health, public health, public health, public health",2024-11-25 15:31:17.680950
PHCM3007,11,Sustainable Cities and Communities,Focus,Keywords detected: creativ,2024-11-25 15:31:17.680950
PHCM3007,4,Quality Education,Supported,Keywords detected: creative,2024-11-25 15:31:17.680950
PHCM3007,9,Industry Innovation and Infrastructure,Supported,Keywords detected: inquiry,2024-11-25 15:31:17.680950
ZGEN2801,9,Industry Innovation and Infrastructure,Supported,Keywords detected: interconnectedness,2024-11-25 15:31:18.193351
ZGEN2801,6,Clean Water and Sanitation,Supported,Keywords detected: fen,2024-11-25 15:31:18.193351
DART2210,11,Sustainable Cities and Communities,Focus,"Keywords detected: creativ, creativ",2024-11-25 15:31:18.641347
DART2210,4,Quality Education,Supported,"Keywords detected: creative, creative",2024-11-25 15:31:18.641347
DART2210,9,Industry Innovation and Infrastructure,Supported,Keywords detected: production,2024-11-25 15:31:18.641347
PSYC7240,4,Quality Education,Supported,"Keywords detected: cultur, psychological disorder",2024-11-25 15:31:19.138818
PSYC7240,10,Reduced Inequalities,Supported,Keywords detected: cult,2024-11-25 15:31:19.138818
EDST1108,10,Reduced Inequalities,Supported,Keywords detected: just,2024-11-25 15:31:20.721597
EDST1108,11,Sustainable Cities and Communities,Supported,"Keywords detected: education, education, education",2024-11-25 15:31:20.721597
EDST1108,4,Quality Education,Supported,Keywords detected: original,2024-11-25 15:31:20.721597
EDST1108,15,Life on Land,Supported,Keywords detected: land,2024-11-25 15:31:20.721597
CHEM3299,14,Life Below Water,Supported,Keywords detected: deep,2024-11-25 15:31:21.173310
MINE4250,7,Affordable and Clean Energy,Focus,Keywords detected: sustainab,2024-11-25 15:31:21.574279
MINE4250,11,Sustainable Cities and Communities,Focus,Keywords detected: sustainab,2024-11-25 15:31:21.574279
MINE4250,13,Climate Action,Focus,Keywords detected: sustainab,2024-11-25 15:31:21.574279
ZEIT3501,4,Quality Education,Focus,"Keywords detected: science, creative, science, science, science, creative",2024-11-25 15:31:22.224180
ZEIT3501,7,Affordable and Clean Energy,Focus,"Keywords detected: sustainab, sustainab, sustainab, sustainab",2024-11-25 15:31:22.224180
ZEIT3501,11,Sustainable Cities and Communities,Focus,"Keywords detected: creativ, sustainab, sustainab, sustainab, creativ, sustainab",2024-11-25 15:31:22.224180
ZEIT3501,13,Climate Action,Focus,"Keywords detected: sustainab, sustainab, sustainab, sustainab",2024-11-25 15:31:22.224180
ZEIT3501,9,Industry Innovation and Infrastructure,Supported,"Keywords detected: technolog, technolog, technolog, integration, technolog",2024-11-25 15:31:22.224180
ZEIT3501,16,"Peace, Justice and Strong Institutions",Supported,"Keywords detected: accountability, accountability, accountability, accountability",2024-11-25 15:31:22.224180
COMM8100,4,Quality Education,Focus,Keywords detected: science,2024-11-25 15:31:23.165523
MDIA3093,7,Affordable and Clean Energy,Supported,"Keywords detected: power, power, power, power",2024-11-25 15:31:23.497934
MDIA3093,4,Quality Education,Supported,"Keywords detected: cultur, creative",2024-11-25 15:31:23.497934
MDIA3093,10,Reduced Inequalities,Supported,Keywords detected: cult,2024-11-25 15:31:23.497934
MDIA3093,11,Sustainable Cities and Communities,Focus,Keywords detected: creativ,2024-11-25 15:31:23.497934
EDST5436,9,Industry Innovation and Infrastructure,Supported,Keywords detected: inquiry,2024-11-25 15:31:24.015089
EDST5436,11,Sustainable Cities and Communities,Supported,"Keywords detected: education, education, education, education",2024-11-25 15:31:24.015089
MATH2400,4,Quality Education,Focus,Keywords detected: science,2024-11-25 15:31:24.369667
MGMT5601,8,Decent Work and Economic Growth,Supported,"Keywords detected: business, business, business",2024-11-25 15:31:24.829873
